"id","name"
location_listing_milan,"Milan"
location_listing_naples,"Naples"
location_listing_rome,"Rome"
location_listing_florence,"Florence"
location_listing_venice,"Venice"
location_listing_bologna,"Bologna"
location_listing_turin,"Turin"
location_listing_palermo,"Palermo"
location_listing_verona,"Verona"
location_listing_genoa,"Genoa"
location_listing_siena,"Siena"
location_listing_matera,"Matera"
location_listing_perugia,"Perugia"
location_listing_bari,"Bari"
location_listing_pisa,"Pisa"
location_listing_lecce,"Lecce"
location_listing_catania,"Catania"
location_listing_trieste,"Trieste"
location_listing_bergamo,"Bergamo"
location_listing_parma,"Parma"
location_listing_ferrara,"Ferrara"
location_listing_lucca,"Lucca"
location_listing_ravenna,"Ravenna"
location_listing_cagliari,"Cagliari"
location_listing_reggio_calabria,"Reggio Calabria"
location_listing_ancona,"Ancona"
location_listing_alessandria,"Alessandria"
location_listing_vicenza,"Vicenza"
location_listing_trento,"Trento"
location_listing_bolzano,"Bolzano"
location_listing_taranto,"Taranto"
location_listing_novara,"Novara"
location_listing_ascoli_piceno,"Ascoli Piceno"
location_listing_avellino,"Avellino"
location_listing_macerata,"Macerata"
location_listing_oristano,"Oristano"
location_listing_brindisi,"Brindisi"
location_listing_vibo_valentia,"Vibo Valentia"
location_listing_pescara,"Pescara"
location_listing_benevento,"Benevento"
location_listing_lodi,"Lodi"
location_listing_savigliano,"Savigliano"
location_listing_more,"Other"
location_listing_aosta,"Aosta"
location_listing_agrigento,"Agrigento"
location_listing_arezzo,"Arezzo"
location_listing_barletta,"Barletta"
location_listing_belluno,"Belluno"
location_listing_benevento,"Benevento"
location_listing_caltanissetta,"Caltanissetta"
location_listing_carrara,"Carrara"
location_listing_caserta,"Caserta"
location_listing_como,"Como"
location_listing_cosenza,"Cosenza"
location_listing_cremona,"Cremona"
location_listing_foggia,"Foggia"
location_listing_frosinone,"Frosinone"
location_listing_gorizia,"Gorizia"
location_listing_grosseto,"Grosseto"
location_listing_ispra,"Ispra"
location_listing_ivrea,"Ivrea"
location_listing_la_spezia,"La Spezia"
location_listing_latina,"Latina"
location_listing_lecco,"Lecco"
location_listing_livorno,"Livorno"
location_listing_mantova,"Mantova"
location_listing_massacarrara,"Massa-Carrara"
location_listing_modena,"Modena"
location_listing_monza,"Monza"
location_listing_olbia,"Olbia"
location_listing_padova,"Padova"
location_listing_potenza,"Potenza"
location_listing_prato,"Prato"
location_listing_rieti,"Rieti"
location_listing_rovigo,"Rovigo"
location_listing_sassari,"Sassari"
location_listing_savona,"Savona"
location_listing_spoleto,"Spoleto"
location_listing_teramo,"Teramo"
location_listing_terni,"Terni"
location_listing_treviso,"Treviso"
location_listing_udine,"Udine"
location_listing_varallo,"Varallo"
location_listing_verbania,"Verbania"
location_listing_viterbo,"Viterbo"
location_listing_voghera,"Voghera"
location_listing_asti,"Asti"
location_listing_cuneo,"Cuneo"
location_listing_pavia,"Pavia"
location_listing_piacenza,"Piacenza"
location_listing_alba,"Alba"
location_listing_rimini,"Rimini"
location_listing_faenza,"Faenza"
location_listing_imperia,"Imperia"
location_listing_trapani,"Trapani"
