"id","name"
location_not_italy_listing_london,"London"
location_not_italy_listing_new_york,"New York"
location_not_italy_listing_paris,"Paris"
location_not_italy_listing_tokyo,"Tokyo"
location_not_italy_listing_berlin,"Berlin"
location_not_italy_listing_sydney,"Sydney"
location_not_italy_listing_toronto,"Toronto"
location_not_italy_listing_madrid,"Madrid"
location_not_italy_listing_moscow,"Moscow"
location_not_italy_listing_beijing,"Beijing"
location_not_italy_listing_dubai,"Dubai"
location_not_italy_listing_singapore,"Singapore"
location_not_italy_listing_melbourne,"Melbourne"
location_not_italy_listing_seoul,"Seoul"
location_not_italy_listing_bangkok,"Bangkok"
location_not_italy_listing_amsterdam,"Amsterdam"
location_not_italy_listing_zurich,"Zurich"
location_not_italy_listing_hong_kong,"Hong Kong"
location_not_italy_listing_san_francisco,"San Francisco"
location_not_italy_listing_chicago,"Chicago"
location_not_italy_listing_munich,"Munich"
location_not_italy_listing_vienna,"Vienna"
location_not_italy_listing_barcelona,"Barcelona"
location_not_italy_listing_istanbul,"Istanbul"
location_not_italy_listing_shanghai,"Shanghai"
location_not_italy_listing_buenos_aires,"Buenos Aires"
location_not_italy_listing_mexico_city,"Mexico City"
location_not_italy_listing_abu_dhabi,"Abu Dhabi"
location_not_italy_listing_athens,"Athens"
location_not_italy_listing_stockholm,"Stockholm"
location_not_italy_listing_copenhagen,"Copenhagen"
location_not_italy_listing_helsinki,"Helsinki"
location_not_italy_listing_oslo,"Oslo"
location_not_italy_listing_lisbon,"Lisbon"
location_not_italy_listing_warsaw,"Warsaw"
location_not_italy_listing_prague,"Prague"
location_not_italy_listing_budapest,"Budapest"
location_not_italy_listing_brasilia,"Brasilia"
location_not_italy_listing_delhi,"Delhi"
location_not_italy_listing_mumbai,"Mumbai"
location_not_italy_listing_kuala_lumpur,"Kuala Lumpur"
location_not_italy_listing_manila,"Manila"
location_not_italy_listing_ho_chi_minh_city,"Ho Chi Minh City"
location_not_italy_listing_jakarta,"Jakarta"
location_not_italy_listing_capetown,"Cape Town"
location_not_italy_listing_cairo,"Cairo"
location_not_italy_listing_dublin,"Dublin"
location_not_italy_listing_brussels,"Brussels"
location_not_italy_listing_bucharest,"Bucharest"
location_not_italy_listing_sofia,"Sofia"
location_not_italy_listing_rio_de_janeiro,"Rio de Janeiro"
location_not_italy_listing_santiago,"Santiago"
location_not_italy_listing_lima,"Lima"
location_not_italy_listing_bogota,"Bogota"
location_not_italy_listing_caracas,"Caracas"
location_not_italy_listing_quito,"Quito"
location_not_italy_listing_panama_city,"Panama City"
location_not_italy_listing_san_juan,"San Juan"
location_not_italy_listing_kingston,"Kingston"
location_not_italy_listing_havana,"Havana"
location_not_italy_listing_montevideo,"Montevideo"
location_not_italy_listing_asuncion,"Asuncion"
location_not_italy_listing_la_paz,"La Paz"
location_not_italy_listing_guatemala_city,"Guatemala City"
location_not_italy_listing_tehran,"Tehran"
location_not_italy_listing_baghdad,"Baghdad"
location_not_italy_listing_kabul,"Kabul"
location_not_italy_listing_islamabad,"Islamabad"
location_not_italy_listing_dhaka,"Dhaka"
location_not_italy_listing_colombo,"Colombo"
location_not_italy_listing_addis_ababa,"Addis Ababa"
location_not_italy_listing_nairobi,"Nairobi"
location_not_italy_listing_dar_es_salaam,"Dar es Salaam"
location_not_italy_listing_johannesburg,"Johannesburg"
location_not_italy_listing_lagos,"Lagos"
location_not_italy_listing_accra,"Accra"
location_not_italy_listing_dakar,"Dakar"
location_not_italy_listing_rabat,"Rabat"
location_not_italy_listing_tunis,"Tunis"
location_not_italy_listing_tripoli,"Tripoli"
location_not_italy_listing_algiers,"Algiers"
location_not_italy_listing_minsk,"Minsk"
location_not_italy_listing_kiev,"Kiev"
location_not_italy_listing_tbilisi,"Tbilisi"
location_not_italy_listing_yerevan,"Yerevan"
location_not_italy_listing_baku,"Baku"
location_not_italy_listing_nicosia,"Nicosia"
location_not_italy_listing_valletta,"Valletta"
location_not_italy_listing_reykjavik,"Reykjavik"
location_not_italy_listing_wellington,"Wellington"
location_not_italy_listing_auckland,"Auckland"
location_not_italy_listing_hanoi,"Hanoi"
location_not_italy_listing_belgrade,"Belgrade"
location_not_italy_listing_tashkent,"Tashkent"
