"id","name"
managed_languages_italian,"Italian"
managed_languages_english,"English"
managed_languages_spanish,"Spanish"
managed_languages_french,"French"
managed_languages_german,"German"
managed_languages_portuguese,"Portuguese"
managed_languages_russian,"Russian"
managed_languages_chinese,"Chinese"
managed_languages_japanese,"Japanese"
managed_languages_korean,"Korean"
managed_languages_arabic,"Arabic"
managed_languages_hindi,"Hindi"
managed_languages_bengali,"Bengali"
managed_languages_tamil,"Tamil"
managed_languages_telugu,"Telugu"
managed_languages_vietnamese,"Vietnamese"
managed_languages_thai,"Thai"
managed_languages_swahili,"Swahili"
managed_languages_dutch,"Dutch"
managed_languages_greek,"Greek"
managed_languages_turkish,"Turkish"
managed_languages_hebrew,"Hebrew"
managed_languages_urdu,"Urdu"
managed_languages_persian,"Persian"
managed_languages_romanian,"Romanian"
managed_languages_hungarian,"Hungarian"
managed_languages_polish,"Polish"
managed_languages_czech,"Czech"
managed_languages_slovak,"Slovak"
managed_languages_swedish,"Swedish"
managed_languages_danish,"Danish"
managed_languages_finnish,"Finnish"
managed_languages_norwegian,"Norwegian"
managed_languages_bulgarian,"Bulgarian"
managed_languages_serbian,"Serbian"
managed_languages_croatian,"Croatian"
managed_languages_bosnian,"Bosnian"
managed_languages_slovene,"Slovene"
managed_languages_albanian,"Albanian"
managed_languages_latvian,"Latvian"
managed_languages_lithuanian,"Lithuanian"
managed_languages_estonian,"Estonian"
managed_languages_icelandic,"Icelandic"
managed_languages_georgian,"Georgian"
managed_languages_armenian,"Armenian"
managed_languages_azerbaijani,"Azerbaijani"
managed_languages_kazakh,"Kazakh"
managed_languages_uzbek,"Uzbek"
managed_languages_tajik,"Tajik"
managed_languages_kyrgyz,"Kyrgyz"
managed_languages_mongolian,"Mongolian"
managed_languages_pashto,"Pashto"
managed_languages_sinhala,"Sinhala"
managed_languages_malay,"Malay"
managed_languages_indonesian,"Indonesian"
managed_languages_filippino,"Filipino"
managed_languages_burmese,"Burmese"
managed_languages_khmer,"Khmer"
managed_languages_lao,"Lao"
managed_languages_nepali,"Nepali"
managed_languages_tibetan,"Tibetan"
managed_languages_zulu,"Zulu"
managed_languages_xhosa,"Xhosa"
managed_languages_hausa,"Hausa"
managed_languages_yoruba,"Yoruba"
managed_languages_igbo,"Igbo"
managed_languages_amharic,"Amharic"
managed_languages_tigrinya,"Tigrinya"
managed_languages_quechua,"Quechua"
managed_languages_aymara,"Aymara"
managed_languages_guarani,"Guarani"
managed_languages_creole,"Creole"
managed_languages_maori,"Maori"
managed_languages_samoan,"Samoan"
managed_languages_tongan,"Tongan"
managed_languages_fijian,"Fijian"
managed_languages_hawaiian,"Hawaiian"
managed_languages_navajo,"Navajo"
managed_languages_cherokee,"Cherokee"
managed_languages_esperanto,"Esperanto"
managed_languages_interlingua,"Interlingua"
managed_languages_volapuk,"Volapük"
managed_languages_bislama,"Bislama"
managed_languages_tok_pisin,"Tok Pisin"
managed_languages_haitian,"Haitian"
