"id","name"
managed_platform_google,"Google"
managed_platform_microsoft,"Microsoft"
managed_platform_amazon,"Amazon"
managed_platform_apple,"Apple"
managed_platform_oracle,"Oracle"
managed_platform_ibm,"IBM"
managed_platform_adobe,"Adobe"
managed_platform_sap,"SAP"
managed_platform_salesforce,"Salesforce"
managed_platform_vmware,"VMware"
managed_platform_red_hat,"Red Hat"
managed_platform_hubspot,"HubSpot"
managed_platform_comptia,"CompTIA"
managed_platform_cisco,"Cisco"
managed_platform_autodesk,"Autodesk"
managed_platform_atlassian,"Atlassian"
managed_platform_moodle,"Moodle"
managed_platform_linkedin,"LinkedIn"
managed_platform_aws,"AWS"
managed_platform_azure,"Azure"
managed_platform_google_ads,"Google Ads"
managed_platform_google_analytics,"Google Analytics"
managed_platform_google_cloud,"Google Cloud"
managed_platform_google_marketing_platform,"Google Marketing Platform"
managed_platform_microsoft_office_specialist,"Microsoft Office Specialist"
managed_platform_microsoft_azure,"Microsoft Azure"
managed_platform_microsoft_certified_solutions_expert,"Microsoft Certified Solutions Expert"
managed_platform_microsoft_dynamics,"Microsoft Dynamics"
managed_platform_aws_solutions_architect,"AWS Solutions Architect"
managed_platform_aws_developer_associate,"AWS Developer Associate"
managed_platform_aws_sysops_administrator,"AWS SysOps Administrator"
managed_platform_aws_cloud_practitioner,"AWS Cloud Practitioner"
managed_platform_apple_certification,"Apple Certified Support Professional"
managed_platform_oracle_database,"Oracle Database Administrator"
managed_platform_oracle_java,"Oracle Java"
managed_platform_oracle_cloud_infrastructure,"Oracle Cloud Infrastructure"
managed_platform_ibm_cloud,"IBM Cloud"
managed_platform_ibm_data_science,"IBM Data Science"
managed_platform_ibm_cognitive_computing,"IBM Cognitive Computing"
managed_platform_adobe_photoshop,"Adobe Photoshop"
managed_platform_adobe_illustrator,"Adobe Illustrator"
managed_platform_adobe_acrobat,"Adobe Acrobat"
managed_platform_sap_certified_development_associate,"SAP Certified Development Associate"
managed_platform_sap_certified_application_associate,"SAP Certified Application Associate"
managed_platform_salesforce_admin,"Salesforce Administrator"
managed_platform_salesforce_developer,"Salesforce Developer"
managed_platform_salesforce_marketing_cloud,"Salesforce Marketing Cloud"
managed_platform_vmware_vcp,"VMware Certified Professional"
managed_platform_vmware_vcdx,"VMware Certified Design Expert"
managed_platform_red_hat_rhce,"Red Hat Certified Engineer (RHCE)"
managed_platform_red_hat_rhca,"Red Hat Certified Architect (RHCA)"
managed_platform_hubspot_cms,"HubSpot CMS Developer"
managed_platform_hubspot_marketing,"HubSpot Inbound Marketing"
managed_platform_comptia_a_plus,"CompTIA A+"
managed_platform_comptia_network_plus,"CompTIA Network+"
managed_platform_comptia_security_plus,"CompTIA Security+"
managed_platform_cisco_ccna,"Cisco CCNA"
managed_platform_cisco_ccnp,"Cisco CCNP"
managed_platform_cisco_ccie,"Cisco CCIE"
managed_platform_autodesk_autocad,"Autodesk AutoCAD"
managed_platform_autodesk_revit,"Autodesk Revit"
managed_platform_atlassian_jira,"Atlassian Jira Software Administrator"
managed_platform_atlassian_confluence,"Atlassian Confluence Administrator"
managed_platform_moodle_certification,"Moodle Certified Educator"
managed_platform_linkedin_learning,"LinkedIn Learning Certifications"
managed_platform_aws_solutions_architect_associate,"AWS Solutions Architect – Associate"
managed_platform_aws_certified_cloud_practitioner,"AWS Certified Cloud Practitioner"
managed_platform_azure_solutions_architect,"Azure Solutions Architect"
managed_platform_azure_developer_associate,"Azure Developer Associate"
managed_platform_azure_fundamentals,"Azure Fundamentals"
managed_platform_trello,"Trello"
managed_platform_trello_certification,"Trello Certification"
managed_platform_asana,"Asana"
managed_platform_asana_certification,"Asana Certified Pro"
managed_platform_slack,"Slack"
managed_platform_slack_certified_admin,"Slack Certified Admin"
managed_platform_zoom,"Zoom"
managed_platform_zoom_certified_admin,"Zoom Certified Administrator"
managed_platform_dropbox,"Dropbox"
managed_platform_dropbox_certified_admin,"Dropbox Certified Administrator"
managed_platform_canva,"Canva"
managed_platform_canva_design_certification,"Canva Design Certification"
managed_platform_notion,"Notion"
managed_platform_notion_certified_admin,"Notion Certified Administrator"
managed_platform_monday,"Monday.com"
managed_platform_monday_certified_pro,"Monday.com Certified Professional"
managed_platform_github,"GitHub"
managed_platform_github_certified_admin,"GitHub Administrator Certification"
managed_platform_gitlab,"GitLab"
managed_platform_gitlab_certified_associate,"GitLab Certified Associate"
managed_platform_bitbucket,"Bitbucket"
managed_platform_bitbucket_certified_admin,"Bitbucket Administrator Certification"
managed_platform_shopify,"Shopify"
managed_platform_shopify_partner_certification,"Shopify Partner Certification"
managed_platform_woocommerce,"WooCommerce"
managed_platform_woocommerce_certified_expert,"WooCommerce Certified Expert"
managed_platform_squarespace,"Squarespace"
managed_platform_squarespace_certified_expert,"Squarespace Certified Expert"
